manufacturer,Year,Hand,Gear,Engine_capacity,Engine_type,Km,Color,Curr_ownership,Prev_ownership,Area,City,Pic_num,Price,model,Cre_date,Repub_date,Description,Test
Tesla,2021,1,אוטומטית,6000,חשמלי,0,שחור,פרטית,פרטית,"ראשל""צ והסביבה",באר יעקב,11,0.0,טסלה מודל 3,2024-05-20,2024-06-01,"מודל 3 פרפורמנס מטוס קרב אמיתיצבע מקורי שחור מבריק פנים לבןציפוי ppf מט מהיום הראשוןppf מבריק פנסים וגגהשחרה בפנסים אחוריים,חלונות,סמלים וגג מסך מתכוונן לנוחות מירביתספוילר מורחב מראות Mמחיר 190000 סופי לסגור לרציניים",357
Tesla,2022,1,אוטומטית,800,חשמלי,0,לבן,פרטית,פרטית,רעננה - כפר סבא,כפר סבא,10,0.0,טסלה מודל 3,2024-01-21,2024-05-22,"ג'ילי גיאומטרי 460Pro עד 485ק""מ בין טעינות. אם לא זמין נא לסמסדגם מפואר ואמין, 480ק""מ בטעינה אחת.קירוי נפתח חשמלי.מושבי-בד רכים מחוממים וחשמליים 6 זכרונות.חדש! שמור ונקי, ללא עישון. תאורת אוירה.צבע בלמים ירוק בהיר. הכל חשמלי ומואר, מקורי וכלול.מסך 12.5"" ווייז, נטפליקס, דיסני וספוטיפיי בנסיעה.אינטרנט אלחוטי מובנה ומצלמות 360 מקליטות בנסיעה.רמקולים וסאב מובנים BOZE.גלגל רזרבי מתחת לכלים בבגאז' יש גם כבל טעינה ציבורית.",0
Tesla,2018,2,רובוטית,1000,חשמלי,0,שחור,פרטית,פרטית,רמת גן - גבעתיים,בני ברק,5,0.0,טסלה מודל S,2024-03-22,2024-03-22,בימבה חשמלית ⚡️⚡️⚡️הדבר הבא!!! מנוע -1200בקר -3 אלף גרין ביק סוללה - 72v35a חזקה מאוד נוסע איזה 50 55 קמ״ש מהיר מאוד מחזיקה 40 קילומטר משהו כזה מפלצת ללא רשיון ✌️,0
Tesla,2021,2,אוטומטית,4900,חשמלי,0,לבן פנינה,פרטית,פרטית,נס ציונה - רחובות,רחובות,4,0.0,טסלה מודל 3,2023-09-02,2023-09-02,טסלה מודל 3 לונג ריינג 2021 לבן פנינה הנעה 4x4498 כוח סוסהרכב במצב שמור מאוד מבחוץ ומבפנים.לבוא ולקחת.,0
Tesla,2023,2,אוטומטית,6000,חשמלי,0,לבן פנינה,פרטית,פרטית,ירושלים והסביבה,ירושלים,1,0.0,טסלה מודל 3,2023-08-16,2023-08-16,"מציאה אמיתית! רכב חדש חדש במצב כמו להוציא מהחברה רק ב25 אלף שקל פחות. תוספת גלגלים 19 אינצ שזה עשרת אלפים שקלים הוספה. 498 כוחות סוס, 0 ל100 4.4 שניות, 602 קילומטר טווח.נמכר בצער רב משיקול כספי. מחיר מחירון לוי יצחק!",0
Tesla,2023,1,אוטומטית,3000,חשמלי,0,לבן שנהב,חברה,חברה,חדרה וישובי עמק חפר,חדרה,8,0.0,טסלה מודל X,2023-06-16,2023-06-16,חדש אנרגיה רכב עיר2023latest neta s עראבה חשמלי מכוניות משמש elektrikli אוטו יפה חשמלי לא טסלה אפשר להזמין מגיע עד שלושה שבועות חדש צריך לשלם מראש ומעלה טווח 715 קמ מהירות עד 185 קמש,0
Tesla,2021,1,אוטומטית,5000,חשמלי,0,לבן פנינה,פרטית,פרטית,עמק יזרעאל,קרית טבעון,2,0.0,טסלה מודל 3,2023-04-10,2023-04-14,"טסלה ייצור ארה""ב כולל וו גרירה. שמורה מאד מאד",0
Tesla,2022,2,אוטומטית,6000,חשמלי,0,כחול,פרטית,פרטית,רמת גן - גבעתיים,רמת גן,3,0.0,טסלה מודל 3,2023-02-08,2023-02-14,"למכירה:מודל 3 LR לונג ריינג׳ , 498 כ״ס 4x4, טווח 602 ק״מ מועד עליה לכביש פברואר 22: — סוללה של 82 קוט״ש, סוללת מתח נמוך ליתיום 16v — מעבד AMD rizenצבע חיצוני כחול, ריפודים לבניםשמורה מאוד, ללא תאונותחונה בחניה מקורה ונשטפת ידנית, בוצע נאנו לריפודים25 אלף קילומטר, טעינה ביתית (למעט נסיעות ארוכות בודדות)מחיר: 230 אלף ש״ח, גמישטלפון: 050-2205789",0
Tesla,2022,1,אוטומטית,6000,חשמלי,0,לבן פנינה,פרטית,פרטית,ירושלים והסביבה,שורש,4,0.0,טסלה מודל S,2023-01-18,2023-01-18,"על הכביש מסוף דצמבר 22, נדירה, בחניה פרטית",0
Tesla,2021,1,אוטומטית,0,חשמלי,0,,,,באר שבע והסביבה,באר שבע,1,0.0,טסלה מודל 3,2022-10-17,2022-10-17,טסלה מודל 3 פרפרומנסהדגם הכי חזק יפה ומפואר513 כוח סוסחווית נהיגה מטורפתנהג יחידשמורתוספת צבע שחורגאנט 203.3 שניות 0 ל100,0
