manufacturer,Year,Hand,Gear,Engine_capacity,Engine_type,Km,Test,Color,Curr_ownership,Prev_ownership,Area,City,Pic_num,Price,model,Cre_date,Repub_date
Tesla,2021,1,אוטומטית,6000.0,חשמלי,0,2025-06-01,שחור,פרטית,פרטית,"ראשל""צ והסביבה",באר יעקב,10,0.0,טסלה מודל 3,2024-05-20,2024-05-26
Tesla,2022,1,אוטומטית,800.0,חשמלי,0,,לבן,פרטית,פרטית,רעננה - כפר סבא,כפר סבא,10,0.0,טסלה מודל 3,2024-01-21,2024-05-22
Tesla,2018,2,רובוטית,1000.0,חשמלי,0,,שחור,פרטית,פרטית,רמת גן - גבעתיים,בני ברק,5,0.0,טסלה מודל S,2024-03-22,2024-03-22
Tesla,2021,2,אוטומטית,4900.0,חשמלי,0,,לבן פנינה,פרטית,פרטית,נס ציונה - רחובות,רחובות,4,0.0,טסלה מודל 3,2023-09-02,2023-09-02
Tesla,2023,2,אוטומטית,6000.0,חשמלי,0,,לבן פנינה,פרטית,פרטית,ירושלים והסביבה,ירושלים,1,0.0,טסלה מודל 3,2023-08-16,2023-08-16
Tesla,2023,1,אוטומטית,3000.0,חשמלי,0,,לבן שנהב,חברה,חברה,חדרה וישובי עמק חפר,חדרה,8,0.0,טסלה מודל X,2023-06-16,2023-06-16
Tesla,2021,1,אוטומטית,5000.0,חשמלי,0,,לבן פנינה,פרטית,פרטית,עמק יזרעאל,קרית טבעון,2,0.0,טסלה מודל 3,2023-04-10,2023-04-14
Tesla,2022,2,אוטומטית,6000.0,חשמלי,0,,כחול,פרטית,פרטית,רמת גן - גבעתיים,רמת גן,3,0.0,טסלה מודל 3,2023-02-08,2023-02-14
Tesla,2022,1,אוטומטית,6000.0,חשמלי,0,,לבן פנינה,פרטית,פרטית,ירושלים והסביבה,שורש,4,0.0,טסלה מודל S,2023-01-18,2023-01-18
Tesla,2021,1,אוטומטית,,חשמלי,0,,,,,באר שבע והסביבה,באר שבע,1,0.0,טסלה מודל 3,2022-10-17,2022-10-17
Tesla,2022,1,אוטומטית,1234.0,חשמלי,0,,,,,מודיעין והסביבה,מודיעין מכבים רעות,1,0.0,טסלה מודל 3,2022-10-13,2022-10-13
Tesla,2021,1,אוטומטית,,חשמלי,0,,,,,אשדוד - אשקלון,תלמי יפה,1,0.0,טסלה מודל 3,2022-10-13,2022-10-13
Tesla,2021,1,אוטומטית,5.0,חשמלי,0,,,,,nan,Ofaqim,1,0.0,טסלה מודל 3,2022-10-03,2022-10-03
Tesla,2021,1,אוטומטית,325.0,חשמלי,0,,,,,אילת והערבה,אילת,1,0.0,טסלה מודל 3,2022-10-03,2022-10-03
Tesla,2021,1,אוטומטית,,חשמלי,0,,,,,הוד השרון והסביבה,הוד השרון,1,0.0,טסלה מודל 3,2022-09-06,2022-09-06
Tesla,2021,1,אוטומטית,,חשמלי,0,,,,,מודיעין והסביבה,מודיעין מכבים רעות,1,0.0,טסלה מודל 3,2022-08-31,2022-08-31
Tesla,2021,1,אוטומטית,,חשמלי,0,,,,,רעננה - כפר סבא,כפר סבא,1,0.0,טסלה מודל 3,2022-08-29,2022-08-29
Tesla,2021,1,אוטומטית,50000.0,חשמלי,0,,,,,רעננה - כפר סבא,כפר סבא,1,0.0,טסלה מודל 3,2022-07-08,2022-07-08
Tesla,2021,1,אוטומטית,,חשמלי,0,,,,,חולון - בת ים,בת ים,1,0.0,טסלה מודל 3,2022-04-20,2022-04-20
Tesla,2021,1,אוטומטית,3600.0,חשמלי,0,,לבן מטאלי,פרטית,פרטית,באר שבע והסביבה,דימונה,1,0.0,טסלה מודל 3,2022-02-07,2022-02-07
Tesla,2022,1,אוטומטית,4500.0,חשמלי,0,,לבן פנינה,אחר,אחר,ירושלים והסביבה,ירושלים,1,0.0,טסלה מודל 3,2022-01-31,2022-01-31
Tesla,2022,1,אוטומטית,4500.0,חשמלי,0,,לבן פנינה,אחר,אחר,ירושלים והסביבה,ירושלים,1,0.0,טסלה מודל 3,2022-01-31,2022-01-31
Tesla,2022,1,אוטומטית,4500.0,חשמלי,0,,לבן פנינה,אחר,אחר,ירושלים והסביבה,ירושלים,1,0.0,טסלה מודל 3,2022-01-31,2022-01-31
Tesla,2021,1,רובוטית,1500.0,חשמלי,0,,סגול מטאלי,אחר,פרטית,חיפה וחוף הכרמל,חיפה,9,0.0,טסלה מודל X,2021-09-20,2021-09-26
Tesla,2021,1,רובוטית,1500.0,חשמלי,98,,לבן,אחר,פרטית,חיפה וחוף הכרמל,חיפה,11,0.0,טסלה מודל X,2021-09-22,2021-09-26
Tesla,2022,1,אוטומטית,800.0,חשמלי,0,,לבן,ליסינג,ליסינג,אשדוד - אשקלון,אשקלון,10,0.0,טסלה מודל 3,2023-02-09,2023-04-10
Tesla,2022,1,אוטומטית,2000.0,חשמלי,0,2024-12-01,לבן פנינה,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,0,0.0,טסלה מודל 3,2023-01-02,2023-01-02
Tesla,2021,1,טיפטרוניק,2000.0,חשמלי,0,,,,,תל אביב,תל אביב יפו,0,0.0,טסלה מודל 3,2022-07-28,2022-07-28
Tesla,2022,1,אוטומטית,6000.0,חשמלי,0,,לבן,פרטית,פרטית,תל אביב,תל אביב יפו,0,0.0,טסלה מודל 3,2022-03-23,2022-03-23
